"brand","Марка","Классификация","Применение","Зарубежные_аналоги","Дополнение","Заменитель"
"18Х2Н4ВА","18Х2Н4ВА","Сталь конструкционная легированная","в цементованном и улучшенном состоянии применяется для ответственных деталей, к которым предъявляются требования высокой прочности, вязкости и износостойкости, а также для деталей, подвергающихся высоким вибрационным и динамическим нагрузкам. Сталь может применяться при температуре от —70 до +450 °С.","Известны","",""
"18Х2Н4МА","18Х2Н4МА","Сталь конструкционная легированная","В цементованном и улучшенном состоянии применяется для ответственных деталей, к которым предъявляются требования высокой прочности, вязкости и износостойкости, а также для деталей, подвергающихся высоким вибрационным и динамическим нагрузкам. Сталь может применяться при температуре от —70 до +450 °С.","Известны","Сталь хромоникельмолибденовая.","15Х2ГН2ТРА, 20Х2Н4А"
"18ХГТ","18ХГТ","Сталь конструкционная легированная","Улучшаемые или цементуемые детали ответственного назначения, от которых требуется повышенная прочность и вязкость сердцевины, а также высокая поверхностная твердость, работающие под действием ударных нагрузок.","Известны","Сталь хромомарганцовая","30ХГТ, 25ХГТ, 12ХН3А, 12Х2Н4А, 20ХН2М, 14ХГСН2МА, 20ХГР"
"18ЮА","18ЮА","Сталь конструкционная углеродистая качественная","для изготовления плакированных полос методом горячей прокатки;","Нет данных","",""
"19Х2НВФА","19Х2НВФА","Сталь конструкционная легированная","для изготовления тонколистового проката, применяемого в термически обработанном состоянии","Нет данных","",""
"19Х2НМФА","19Х2НМФА","Сталь конструкционная легированная","для изготовления тонколистового проката, применяемого в термически обработанном состоянии","Нет данных","",""
"19ХГН","19ХГН","Сталь конструкционная легированная","Для производства крестовин карданных валов автомобилей","Нет данных","Сталь хромо-марганцово-никелевая.",""
"1Х2М1","1Х2М1","Сталь конструкционная для сварных конструкций","для производства двухслойных листовых сталей и бесшовных труб для нефтеперерабатывающей и нефтехимической промышленности","Нет данных","",""
"20-ПВ","20-ПВ","Сталь конструкционная углеродистая качественная","Для изготовления бесшовных холоднодеформированных, теплодеформированных, горячедеформированных, в том числе горячепрессованных, и горячепрессованных редуцированных труб, предназначенных для паровых котлов и трубопроводов установок с высокими и сверхкритическими параметрами пара","Нет данных","",""
"20","20","Сталь конструкционная углеродистая качественная","трубы перегревателей, коллекторов и трубопроводов котлов высокого давления, листы для штампованных деталей, цементуемые детали для длительной и весьма длительной службы при температурах до 350 град. По СТ-ЦКБА 010-2004 критическая температура хрупкости 20°С","Известны","","15, 25"
"20А","20А","Сталь конструкционная углеродистая качественная","для производства бесшовных горячедеформированных нефтегазопроводных труб повышенной коррозионной стойкости и хладостойкости","Нет данных","",""
"20Г","20Г","Сталь конструкционная легированная","После улучшения — заклепки ответственного назначения; после цементации или цианирования — поршневые пальцы, фрикционные диски, пальцы рессор, кулачковые валики, болты, гайки, шестерни, червяки и другие детали с высокой твердостью и износостойкостью поверхности. Без термообработки — сварные подмоторные рамы, башмаки, косынки.","Известны","Сталь марганцовистая","20, 30Г"
"20Г2","20Г2","Сталь конструкционная легированная","для производства инструментальной оснастки повышенной износостойкости, работающей при умеренных и значительных давлениях без разогрева режущей кромки","Известны","",""
"20ГС","20ГС","Сталь конструкционная для сварных конструкций","изготовление арматуры периодического профиля классов Ат600 (Ат-IV), Ат800 (Ат-V), Ат1000 (Ат-VI), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"20ГС2","20ГС2","Сталь конструкционная для сварных конструкций","изготовление арматуры периодического профиля классов Ат800 (Ат-V), Ат1000 (Ат-VI), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"20К","20К","Сталь конструкционная углеродистая качественная","фланцы, днища, цельнокованые и сварные барабаны паровых котлов, полумуфты, корпуса аппаратов и другие детали котлостроения и сосудов, работающие под давлением и при температуре до 450 °С.","Известны","","15К"
"20кп","20кп","Сталь конструкционная углеродистая качественная","без термообработки или после нормализации — патрубки, штуцера, вилки, болты, фланцы, корпуса аппаратов и другие детали из кипящей стали, работающие от —20 до 425 °С; после цементации и цианирования — детали, от которых требуется высокая твердость поверхности и невысокая прочность сердцевины (оси, крепежные детали, пальцы, звездочки и другие).","Известны","","15кп"
"20Н2М","20Н2М","Сталь конструкционная легированная","Зубчатые венцы, зубчатые колеса, пальцы и другие ответственные детали, работающие в условиях ударных и знакопеременных нагрузок","Известны","Сталь никельмолибденовая.",""
"20НМ","20НМ","Сталь конструкционная легированная","Зубчатые венцы, зубчатые колеса, пальцы и другие ответственные детали, работающие в условиях ударных и знакопеременных нагрузок","Известны","Сталь никельмолибденовая.",""
"20ПВ","20ПВ","Сталь конструкционная углеродистая качественная","Для изготовления бесшовных холоднодеформированных, теплодеформированных, горячедеформированных, в том числе горячепрессованных, и горячепрессованных редуцированных труб, предназначенных для паровых котлов и трубопроводов установок с высокими и сверхкритическими параметрами пара","Нет данных","",""
"20пс","20пс","Сталь конструкционная углеродистая качественная","без термообработки или после нормализации — патрубки, штуцера, вилки, болты, фланцы, корпуса аппаратов и другие детали из кипящей стали, работающие от —20 до 425 °С; после цементации и цианирования — детали, от которых требуется высокая твердость поверхности и невысокая прочность сердцевины (оси, крепежные детали, пальцы, звездочки и другие).","Известны","","15кп"
"20Ф","20Ф","Сталь конструкционная легированная","для изготовления трубной заготовки и труб бесшовных горячедеформированных нефтегазопроводных повышенной коррозионной стойкости и хладостойкости","Нет данных","",""
"20ФА","20ФА","Сталь конструкционная легированная","Для изготовления хладостойких и коррозионностойких бесшовных труб для низконапорных трубопроводов","Нет данных","",""
"20ФЮ","20ФЮ","Сталь конструкционная для сварных конструкций","Изготовление проката повышенной прочности, применяемого в конструкциях общего назначения со сварными, клепаными и болтовыми соединениями.","Нет данных","Сталь легированная",""
"20Х","20Х","Сталь конструкционная легированная","Втулки, шестерни, обоймы, гильзы, диски, плунжеры, рычаги и другие цементуемые детали, к которым предъявляются требования высокой поверхностной твердости при невысокой прочности сердцевины, детали, работающие в условиях износа при трении.","Известны","Сталь хромистая","15Х, 20ХН, 12ХН2, 18ХГТ"
"20Х12Н12Г6","20Х12Н12Г6","Сталь конструкционная легированная","Для производства катанки и луженой проволоки, предназначенных для изготовления бандажей роторов электрических машин.","Нет данных","",""
"20Х14","20Х14","Сталь конструкционная легированная","Для изготовления горячекатаной и холоднотянутой проволоки, предназначенной для механизированной электродуговой наплавки.","Нет данных","",""
"20Х17Н3М","20Х17Н3М","Сталь конструкционная легированная","Для изготовления горячекатаной и холоднотянутой проволоки, предназначенной для механизированной электродуговой наплавки.","Нет данных","",""
"20Х2Г2СР","20Х2Г2СР","Сталь конструкционная для сварных конструкций","изготовление арматуры классов А-V(А800) и А-VI (А1000), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"20Х2Н4А","20Х2Н4А","Сталь конструкционная легированная","Шестерни, вал-шестерни, пальцы и другие цементуемые особо ответственные высоконагруженные детали, к которым предъявляются требования высокой прочности, пластичности и вязкости сердцевины и высокой поверхностной твердости, работающие под действием ударных нагрузок или при отрицательных температурах.","Известны","Сталь хромоникелевая.","20ХГНР, 15ХН2ТА, 20ХГНТР"
"20ХГ2Т","20ХГ2Т","Сталь конструкционная для сварных конструкций","для изготовления арматуры периодического профиля класса А-IV (А600) диаметром от 10 до 32 мм.","Нет данных","",""
"20ХГ2Ц","20ХГ2Ц","Сталь конструкционная для сварных конструкций","для изготовления арматуры периодического профиля класса А-IV (А600) диаметром от 10 до 32 мм.","Нет данных","",""
"20ХГНМ","20ХГНМ","Сталь конструкционная легированная","Для изготовления деталей, подвергающихся высоким вибрационным и динамическим нагрузкам.","Известны","Сталь хромомарганцовоникелевая с молибденом.",""
"20ХГНР","20ХГНР","Сталь конструкционная легированная","Зубчатые колеса, вал-шестерни, червяки, кулачковые муфты, валики, втулки и другие ответственные детали, работающие в условиях ударных нагрузок.","Нет данных","Сталь хромомарганцовоникелевая с титаном и бором.","20ХН3А, 12ХН2, 12ХН3А"
"20ХГС2","20ХГС2","Сталь конструкционная для сварных конструкций","изготовление арматуры периодического профиля класса Ат1000К (Ат-VIК), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"20ХГСА","20ХГСА","Сталь конструкционная легированная","Ходовые винты, оси, валы, червяки и другие детали, работающие в условиях износа и при знакопеременных нагрузках при температурах до 200 °С.","Известны","Сталь хромокремнемарганцовая.","30ХГСА"
"20ХМ","20ХМ","Сталь конструкционная легированная","Для изготовления зубчатых колес коробок передач","Известны","Сталь хромомолибденовая",""
"20ХН","20ХН","Сталь конструкционная легированная","шестерни, втулки, пальцы, детали крепежа и другие детали, от которых требуется повышенная вязкость и умеренная прокаливаемость.","Известны","Сталь хромоникелевая.","15ХР, 20ХНР, 18ХГТ"
"20ХН2М","20ХН2М","Сталь конструкционная легированная","Шестерни, полуоси, сателлиты, кулачки, шарниры и другие детали.","Известны","Сталь хромоникельмолибденовая.","20ХГР, 15ХР, 20ХНР, 20ХГНР"
"20ХН3А","20ХН3А","Сталь конструкционная легированная","Шестерни, валы, втулки, силовые шпильки, болты, муфты, червяки и другие цементуемые детали, к которым предъявляются требования высокой прочности, пластичности и вязкости сердцевины и высокой поверхностной твердости, работающие под действием ударных нагрузок и при отрицательных температурах.","Известны","Сталь хромоникелевая.","20ХГНР, 20ХНГ, 38ХА, 15Х2ГН2ТА, 20ХГР"
"20ХН3МФА","20ХН3МФА","Сталь конструкционная легированная","Изготовление кованых заготовок валов компрессорных машин и газовых турбин, ответственных тяжело нагруженных деталей, работающих при температурах до +500 °С","Нет данных","",""
"20ХН4ФА","20ХН4ФА","Сталь конструкционная легированная","Клапаны впуска, болты, шпильки и другие ответственные детали, работающие в коррозионной среде при повышенных температурах (300— 400 °С).","Известны","Сталь хромоникельванадиевая.","18Х2Н4МА"
"20ХНМ","20ХНМ","Сталь конструкционная легированная","Шестерни, полуоси, сателлиты, кулачки, шарниры и другие детали.","Известны","Сталь хромоникельмолибденовая.","20ХГР, 15ХР, 20ХНР, 20ХГНР"
"20ХНР","20ХНР","Сталь конструкционная легированная","зубчатые колеса, валы-шестерни, червяки, кулачковые муфты, валики, пальцы, втулки и другие нагруженные крупные детали, работающие в условиях ударных нагрузок.","Нет данных","","20ХН"
"20ХФА","20ХФА","Сталь конструкционная легированная","Для изготовления бесшовных горячедеформированных труб повышенной коррозионной стойкости и хладостойкости для внутрипромысловых трубопроводов","Нет данных","",""
"20ЮА","20ЮА","Сталь конструкционная углеродистая качественная","Изготовление листового проката толщиной от 4 до 14 мм, предназначенного для холодной штамповки","Нет данных","",""
"20ЮЧ","20ЮЧ","Сталь конструкционная легированная","для изготовления труб, корпусов, днищ, плоских фланцев и других деталей, эксплуатируемых в средах содержащих сероводород и углекислый газ при температурах от -40 °С до +475 °С; деталей трубопроводной арматуры с проведением термообработки; сварных сосудов газовой и нефтехимической промышленности; бесшовных горячедеформированных нефтегазопроводных труб повышенной коррозионной стойкости и хладостойкости, предназначенных для использования в системах нефтегазопроводов, технологических промысловых трубопроводов, транспортирующих нефть и нефтепродукты, а также в системах поддержания пластового давления в условиях нефтедобывающих предприятий эксплуатируемых в средах, содержащих сероводород и углекислый газ.","Нет данных","",""
"20ЮЧА","20ЮЧА","Сталь конструкционная легированная","для производства бесшовных горячедеформированных нефтегазопроводных труб повышенной коррозионной стойкости и хладостойкости; для изготовления сварных сосудов газовой и нефтехимической промышленности;","Нет данных","",""
"21Х2НВФА","21Х2НВФА","Сталь конструкционная легированная","для изготовления тонколистового проката, применяемого в термически обработанном состоянии","Нет данных","",""
"21Х2НМФА","21Х2НМФА","Сталь конструкционная легированная","для изготовления тонколистового проката, применяемого в термически обработанном состоянии","Нет данных","",""
"22ГЮ","22ГЮ","Сталь конструкционная для сварных конструкций","Изготовление электросварных прямошовных труб диаметром от 10 до 530 мм, применяемых для трубопроводов и конструкций различного назначения.","Нет данных","",""
"22К","22К","Сталь конструкционная углеродистая качественная","днища, фланцы, цельнокованые и сварные барабаны паровых котлов. полумуфты, патрубки и другие детали, работающие при температуре от —40 до 450 °С под давлением. По СТ-ЦКБА 010-2004 критическая температура хрупкости 40°С","Известны","","25К"
"22С","22С","Сталь конструкционная для сварных конструкций","для изготовления арматуры периодического профиля класса класса Ат800 (Ат-V), предназначенной для армирования железобетонных конструкций","Нет данных","",""
"22Х2Г2АЮ","22Х2Г2АЮ","Сталь конструкционная для сварных конструкций","изготовление арматуры классов А-V(А800) и А-VI (А1000), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"22Х2Г2Р","22Х2Г2Р","Сталь конструкционная для сварных конструкций","изготовление арматуры классов А-V(А800) и А-VI (А1000), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"22ХНМ","22ХНМ","Сталь конструкционная легированная","Изготовление горячекатанных прутков, предназначенных для изготовления шестерен грузовых автомобилей","Нет данных","",""
"23Г2Д","23Г2Д","Сталь конструкционная легированная","Для изготовления котлов энергетического оборудования","Нет данных","",""
"23Х2Г2Т","23Х2Г2Т","Сталь конструкционная для сварных конструкций","изготовление арматуры класса А-V (А800), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"23Х2Г2Ц","23Х2Г2Ц","Сталь конструкционная для сварных конструкций","изготовление арматуры класса А-V (А800), предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"23Х2НВФА","23Х2НВФА","Сталь конструкционная легированная","для изготовления тонколистового проката, применяемого в термически обработанном состоянии","Нет данных","",""
"23Х2НМФА","23Х2НМФА","Сталь конструкционная легированная","для изготовления тонколистового проката, применяемого в термически обработанном состоянии","Нет данных","",""
"25","25","Сталь конструкционная углеродистая качественная","оси, валы, соединительные муфты, собачки, рычаги, вилки, шайбы, валики, болты, фланцы, тройники, крепежные детали и другие неответственные детали; после ХТО — винты, втулки, собачки и другие детали, к которым предъявляются требования высокой поверхностной твердости и износостойкости при невысокой прочности сердцевины.","Известны","","20, 30"
"25Г","25Г","Сталь конструкционная легированная","После улучшения — заклепки ответственного назначения; после цементации или цианирования — поршневые пальцы, фрикционные диски, пальцы рессор, кулачковые валики, болты, гайки, винты, шестерни, червяки и другие детали с высокой твердостью и износостойкостью поверхности; без термообработки — сварные подмоторные рамы, башмаки, косынки, штуцера, втулки.","Известны","Сталь марганцовистая",""
"25Г2С","25Г2С","Сталь конструкционная для сварных конструкций","для изготовления арматуры периодического профиля класса классов Ат600С (Ат-IVС), Ат800 (Ат-V), предназначенной для армирования железобетонных конструкций","Известны","",""
"25ГС","25ГС","Сталь конструкционная для сварных конструкций","для сварных конструкций","Нет данных","",""
"25пс","25пс","Сталь конструкционная углеродистая качественная","Изготовление листового проката толщиной от 4 до 14 мм, предназначенного для холодной штамповки","Нет данных","",""
"25С2Р","25С2Р","Сталь конструкционная для сварных конструкций","изготовление арматуры периодического профиля классов Ат600К (Ат-IVК), Ат800 (Ат-V), Ат800К (Ат-VК), Ат1000 (Ат-VI),предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций","Нет данных","",""
"25Х2ГНТА","25Х2ГНТА","Сталь конструкционная легированная","балки, болты, оси, нагруженные внутренним давлением сосуды","Нет данных","",""
"25Х2Н4ВА","25Х2Н4ВА","Сталь конструкционная легированная","Крупногабаритные шатуны, муфты и другие детали большой вязкости и прокаливаемости","Нет данных","",""
"25Х2Н4МА","25Х2Н4МА","Сталь конструкционная легированная","Крупногабаритные шатуны, муфты и другие детали большой вязкости и прокаливаемости","Известны","Сталь хромоникельмолибденовая.","25Х2Н4ВА"
"25ХГНМТ","25ХГНМТ","Сталь конструкционная легированная","Для изготовления деталей приборов работающих на трение; деталей вспомогательных узлов машин и приспособлений.","Нет данных","Сталь хромо-марганцово-никелевая с молибденом и титаном.",""
"25ХГСА","25ХГСА","Сталь конструкционная легированная","Ответственные сварные и штампованные детали, применяемые в улучшенном состоянии: ходовые винты, оси, валы, червяки, шатуны, коленчатые валы, штоки и другие детали.","Известны","Сталь хромокремнемарганцовая.","20ХГСА"
"27ГС","27ГС","Сталь конструкционная для сварных конструкций","изготовление арматуры периодического профиля класса Ат600С (Ат-IVС), предназначенной для армирования железобетонных конструкций","Нет данных","",""
"27ХГР","27ХГР","Сталь конструкционная легированная","Детали ответственного назначения: кулачки шарнира переднего ведущего моста, зубчатые колеса и др.","Известны","Сталь хромомарганцовая",""
"28С","28С","Сталь конструкционная для сварных конструкций","изготовление арматуры периодического профиля классов Ат600С (Ат-IVС), Ат800 (Ат-V), предназначенной для армирования железобетонных конструкций","Нет данных","",""
"28ХГ2ТР","28ХГ2ТР","Сталь конструкционная легированная","для изготовления трубной заготовки","Нет данных","",""
"30","30","Сталь конструкционная углеродистая качественная","тяги, серьги, траверсы, рычаги, валы, звездочки, шпиндели, цилиндры прессов, соединительные муфты и другие детали невысокой прочности.","Известны","","25, 35"
"30Г","30Г","Сталь конструкционная легированная","Улучшаемые детали, к которым предъявляются требования невысокой прочности: тяги, оси, цилиндры, диски, болты, гайки, винты и другие.","Известны","Сталь марганцовистая","35, 40Г"
"30Х","30Х","Сталь конструкционная легированная","Крепежные детали для работы при температурах не выше 400 град.","Известны","Сталь хромистая","30ХРА, 35Х, 35ХРА"
"30Х10Г10Т","30Х10Г10Т","Сталь конструкционная легированная","Для изготовления горячекатаной и холоднотянутой проволоки, предназначенной для механизированной электродуговой наплавки.","Нет данных","",""
"30Х2НВА","30Х2НВА","Сталь конструкционная легированная","Для изготовления тяжелонагруженных деталей машиностроения","Нет данных","",""
"30Х2НВФА","30Х2НВФА","Сталь конструкционная легированная","Для изготовления ответственных деталей высокой прочности и вязкости, работающих в условиях повторно-переменных нагрузок (коленчатых валов, зубчатых колес, шатунов и др); для изготовления деталей большого сечения, когда требуется высокая прокаливаемость","Нет данных","",""
"30Х2НМА","30Х2НМА","Сталь конструкционная легированная","Для изготовления ответственных деталей высокой прочности и вязкости, работающих в условиях повторно-переменных нагрузок","Нет данных","",""
"30Х2НМФА","30Х2НМФА","Сталь конструкционная легированная","Для изготовления кованых заготовок (поковок IV и V групп) шестерен и колес редукторов, валов, втулок и обойм зубчатых муфт компрессорных машин; кованых заготовок валов компрессорных машин и газовых турбин; ответственных деталей высокой прочности и вязкости, работающих в условиях повторно-переменных нагрузок (коленчатых валов, зубчатых колес, шатунов и др); деталей большого сечения, когда требуется высокая прокаливаемость.","Нет данных","",""
"30Х3ВА-Ш","30Х3ВА-Ш","Сталь конструкционная легированная","Для изготовления силовых деталей ракетных двигателей, в том числе азотируемых, работающих при температурах до 400—500°С; азотируемых деталей авиастроения.","Нет данных","Сталь теплоустойчивая",""
"30Х3ВА","30Х3ВА","Сталь конструкционная легированная","Для изготовления силовых деталей ракетных двигателей, в том числе азотируемых, работающих при температурах до 400—500°С; азотируемых деталей авиастроения.","Нет данных","Сталь теплоустойчивая",""
"30Х3МА","30Х3МА","Сталь конструкционная легированная","Для изготовления силовых деталей ракетных двигателей, в том числе азотируемых, работающих при температурах до 400—500 °С; трубной заготовки для изготовления труб в химическом и энергетическом машиностроении.","Нет данных","",""
"30Х5","30Х5","Сталь конструкционная легированная","Для изготовления горячекатаной и холоднотянутой проволоки, предназначенной для механизированной электродуговой наплавки.","Нет данных","",""
"30ХГС","30ХГС","Сталь конструкционная легированная","Различные улучшаемые детали: валы, оси, зубчатые колеса, тормозные ленты моторов, фланцы, корпуса обшивки, лопатки компрессорных машин, рычаги, толкатели, ответственные сварные конструкции, работающие при знакопеременных нагрузках, крепежные детали.","Известны","Сталь хромокремнемарганцовая.","40ХФА, 35ХМ, 40ХН, 35ХГСА"
"30ХГСА","30ХГСА","Сталь конструкционная легированная","Различные улучшаемые детали: валы, оси, зубчатые колеса, фланцы, корпуса обшивки, лопатки компрессорных машин, работающие при температуре до 200°С, рычаги, толкатели, ответственные сварные конструкции, работающие при знакопеременных нагрузках, крепежные детали, работающие при низких температурах.","Известны","Сталь хромокремнемарганцовая.","40ХФА, 35ХМ, 40ХН, 25ХГСА, 35ХГСА"
"30ХГСН2А","30ХГСН2А","Сталь конструкционная легированная","Шестерни, фланцы, кулачки, пальцы, валики, оси, шпильки и другие ответственные тяжелонагруженные детали.","Известны","Сталь хромо-кремне-марганцово-никелевая.",""
"30ХГСН2МА-ВД","30ХГСН2МА-ВД","Сталь конструкционная легированная","Для изготовления сортового проката, труб; наиболее ответственных деталей авиастроения.","Нет данных","Сталь высокопрочная",""
"30ХГСН2МА","30ХГСН2МА","Сталь конструкционная легированная","Для изготовления сортового проката, труб; наиболее ответственных деталей авиастроения.","Нет данных","Сталь высокопрочная",""
"30ХГСНА","30ХГСНА","Сталь конструкционная легированная","Шестерни, фланцы, кулачки, пальцы, валики, оси, шпильки и другие ответственные тяжелонагруженные детали.","Известны","Сталь хромо-кремне-марганцово-никелевая.",""
"30ХГСНМА","30ХГСНМА","Сталь конструкционная легированная","Для изготовления труб","Нет данных","",""
"30ХГТ","30ХГТ","Сталь конструкционная легированная","Улучшаемые и цементуемые детали, от которых требуется высокая прочность, вязкая сердцевина и высокая поверхностная твердость, работающие при больших скоростях и повышенных удельных давлениях под действием ударных нагрузок.","Известны","Сталь хромомарганцовая","18ХГТ, 20ХН2М, 25ХГТ, 12Х2Н4А"
"30ХН2ВА","30ХН2ВА","Сталь конструкционная легированная","Для изготовления коленчатых валов, шатунов, ответственных болтов, шпилек, специального крепежа, дисков, звездочек и других ответственных деталей, работающих в сложных условиях нагружения при нормальных, пониженных и повышенных температурах.","Нет данных","Сталь хромоникельвольфрамовая",""
"30ХН2ВФА","30ХН2ВФА","Сталь конструкционная легированная","Валы, цельнокованые роторы, диски, детали редукторов, болты, шпильки и другие ответственные детали турбин и компрессорных машин, работающие при повышенных температурах.","Нет данных","",""
"30ХН2МФА","30ХН2МФА","Сталь конструкционная легированная","Валы, цельнокованые роторы, диски, детали редукторов, болты, шпильки и другие ответственные детали турбин и компрессорных машин, работающие при повышенных температурах.","Известны","Сталь хромоникельмолибденованадиевая.","30ХН2ВФА"
"30ХН3А","30ХН3А","Сталь конструкционная легированная","Венцы ведомых колес тяговых зубчатых передач электропоездов, шестерни и другие улучшаемые детали. Может применяться при температуре —80 °С (толщина стенки не более 100 мм).","Известны","Сталь хромоникелевая.","30Х2ГН2, 25Х2ГНТА, 34ХН2М"
"30ХН3М2ФА","30ХН3М2ФА","Сталь конструкционная легированная","диски паровых турбин.","Нет данных","",""
